metric,estimator,estimate,config,null_model_avg,seed,model,percent_change
mae,standard,142.74883109871027,Preprocessor1_Model1,165.964287109375,6245,taxaHFE_ML_supplement_users,-13.9882238612968
mae,standard,137.63785880952375,Preprocessor1_Model1,156.222177734375,6326,taxaHFE_ML_supplement_users,-11.89608235806969
mae,standard,138.7126411929563,Preprocessor1_Model1,171.87482421875,6426,taxaHFE_ML_supplement_users,-19.29438076607848
mae,standard,137.81668166666665,Preprocessor1_Model1,165.502158203125,6430,taxaHFE_ML_supplement_users,-16.72816647048146
mae,standard,174.8159673168498,Preprocessor1_Model1,166.331533203125,6468,taxaHFE_ML_supplement_users,5.100917396921703
mae,standard,129.09753310267843,Preprocessor1_Model1,165.34708984375,6566,taxaHFE_ML_supplement_users,-21.9233110031309
mae,standard,193.58051837180165,Preprocessor1_Model1,165.65375,6666,taxaHFE_ML_supplement_users,16.858518670299734
mae,standard,180.6155960168651,Preprocessor1_Model1,171.84126953125,6684,taxaHFE_ML_supplement_users,5.106064747746451
mae,standard,128.48007606169867,Preprocessor1_Model1,161.39419921875,6765,taxaHFE_ML_supplement_users,-20.3936221477454
mae,standard,148.56813604662702,Preprocessor1_Model1,158.1769921875,7108,taxaHFE_ML_supplement_users,-6.074749562491881
mae,standard,108.47296767857148,Preprocessor1_Model1,170.09562499999998,7147,taxaHFE_ML_supplement_users,-36.22824356677516
mae,standard,146.11006419204068,Preprocessor1_Model1,160.36005859375,7191,taxaHFE_ML_supplement_users,-8.88624918615783
mae,standard,123.50953023077568,Preprocessor1_Model1,171.801220703125,7214,taxaHFE_ML_supplement_users,-28.109049676543375
mae,standard,107.89286684523807,Preprocessor1_Model1,167.20251953125,7233,taxaHFE_ML_supplement_users,-35.47174579204054
mae,standard,141.56270111319398,Preprocessor1_Model1,153.63732421875,7580,taxaHFE_ML_supplement_users,-7.859173001714137
mae,standard,182.30724374638635,Preprocessor1_Model1,163.9900390625,7620,taxaHFE_ML_supplement_users,11.169705665418675
